,created_at,rumah
1788,2020-02-01 00:37:00,0
1789,2020-02-01 00:41:34,0
1790,2020-02-01 00:41:34,0
1791,2020-02-01 00:41:34,0
1792,2020-02-01 01:25:41,0
1793,2020-02-01 01:26:57,0
1794,2020-02-01 01:34:31,0
1795,2020-02-01 01:45:45,0
1796,2020-02-01 01:45:51,0
1797,2020-02-01 01:47:17,0
1798,2020-02-01 01:52:29,0
1799,2020-02-01 01:54:11,0
1800,2020-02-01 01:55:05,0
1801,2020-02-01 02:18:01,0
1802,2020-02-01 03:00:10,0
1803,2020-02-01 03:07:37,0
1804,2020-02-01 03:08:10,0
1805,2020-02-01 03:23:33,0
1806,2020-02-01 03:26:19,0
1807,2020-02-01 03:27:52,0
1808,2020-02-01 03:37:30,0
1809,2020-02-01 03:44:05,0
1810,2020-02-01 03:54:17,0
1811,2020-02-01 03:56:07,0
1812,2020-02-01 05:46:14,0
1813,2020-02-01 05:57:36,0
1814,2020-02-01 05:58:53,0
1815,2020-02-01 05:59:23,0
1816,2020-02-01 06:01:32,0
1817,2020-02-01 06:06:07,0
1818,2020-02-01 06:08:39,0
1819,2020-02-01 06:10:38,0
1820,2020-02-01 06:12:21,0
1821,2020-02-01 06:14:07,0
1822,2020-02-01 06:14:13,0
1823,2020-02-01 06:14:28,0
1824,2020-02-01 07:39:33,0
1825,2020-02-01 08:17:54,0
1826,2020-02-01 08:37:12,0
1827,2020-02-01 09:43:54,0
1828,2020-02-01 10:03:38,0
1829,2020-02-01 10:04:35,0
1830,2020-02-01 10:05:49,0
1831,2020-02-01 10:09:45,0
1832,2020-02-01 10:37:18,0
1833,2020-02-01 11:04:20,0
1834,2020-02-01 12:16:03,0
1835,2020-02-01 14:24:03,0
1836,2020-02-01 14:36:19,0
1837,2020-02-01 15:02:11,0
1838,2020-02-01 15:05:46,0
1839,2020-02-01 15:15:17,0
1840,2020-02-01 15:16:51,0
1841,2020-02-01 15:19:43,0
1842,2020-02-01 15:23:59,0
1843,2020-02-01 15:25:10,0
1844,2020-02-01 15:25:48,0
1845,2020-02-01 16:40:54,0
1846,2020-02-01 16:44:28,0
1847,2020-02-01 17:07:22,0
1848,2020-02-01 17:16:11,0
1849,2020-02-01 17:17:52,0
1850,2020-02-01 17:19:23,0
1851,2020-02-01 17:20:22,0
1852,2020-02-01 17:21:19,0
1853,2020-02-01 17:27:21,0
1854,2020-02-01 17:33:17,0
1855,2020-02-01 17:35:51,0
1856,2020-02-01 17:38:09,0
